"subjID"	"offer"	"accept"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Angry"
"19"	"1"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"1"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Happy"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"0"	"Angry"
"19"	"1"	"Happy"
"19"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Angry"
"20"	"1"	"Happy"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"0"	"Angry"
"20"	"1"	"Happy"
"20"	"1"	"Happy"
"22"	"0"	"Happy"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"0"	"Angry"
"22"	"0"	"Angry"
"22"	"0"	"Happy"
"22"	"1"	"Happy"
"22"	"0"	"Happy"
"22"	"1"	"Happy"
"22"	"1"	"Happy"
"22"	"1"	"Happy"
"22"	"0"	"Happy"
"22"	"1"	"Angry"
"22"	"0"	"Angry"
"22"	"0"	"Happy"
"22"	"0"	"Happy"
"22"	"1"	"Happy"
"22"	"1"	"Happy"
"22"	"1"	"Angry"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
"22"	"0"	"Angry"
"22"	"0"	"Happy"
"22"	"0"	"Angry"
"22"	"0"	"Angry"
"22"	"1"	"Happy"
