"SubNo","alpha","beta","omega","neg_log_likelihood","convergence"
"19",0.232821193375495,1.13401917015836,0,172.4797368665,0
"20",0.409322659164471,0.640122564885063,0,142.587137655479,0
"22",0.187579833848433,2.6989492568393,0,159.287205856384,0
"23",1,2.22078228054004,0.974494957971472,177.302622615178,0
"24",0.49740936497129,4.57139008032486,0.928209216442394,150.102685247018,0
"25",0.316383662934607,1.49569232441805,1,179.961613821885,0
"26",0.167776029642185,2.48572284480367,0.892585982630929,148.613296233115,0
"27",0,0,1,178.831972068465,0
"28",0,0,1,179.525119247025,0
"29",0.297036027885364,1.91100058959605,0.19841381688625,154.436482722291,0
"30",0.215270575948374,2.20535437721412,0.0884791441684711,153.181287411196,0
"31",0.297057822988756,4.97687393956164,1,173.736678720436,0
"32",0.272493862474118,4.36556415370545,0.793746938949935,160.806799755998,0
"34",0.173336290290765,1.49577834728418,0,165.522135991832,0
"35",0.260465997061985,1.05833231317257,0,166.58382068333,0
"36",0.147560920301096,2.87860027944897,0.133071448046158,160.215648386613,0
"38",0.483222871302087,3.2659354886859,0.971547447794674,174.084879441686,0
"39",0.293512597136354,3.508216657704,0.638989697627433,146.22431262111,0
"40",0.373972650229135,0.901607639420517,0,156.358022784276,0
"41",0.294292696330123,3.03061305910708,0.767308710499939,114.364640414771,0
"42",0.440735988678859,4.88414692874172,0.984163829519837,170.912990180544,0
"43",0.12316361765558,1.92114608343839,0,121.754387307751,0
"44",0.527956713512193,1.85488733945459,0.962663540150893,150.428153762646,0
"45",0.370178279867467,4.56633877959501,1,166.793162495614,0
"46",0.4465616038297,2.61632461303658,1,167.835951744165,0
"47",0.327686801963429,3.86847167044393,0.733057188719173,156.22124995041,0
"48",0.306419800667772,5.52270825460174,0.966408370540722,168.712476630161,0
"49",0.40400796145247,3.23356618651058,0.784939573392531,164.118920354307,0
"50",0.463251795835718,1.28560124423245,1,173.469199982341,0
"51",0.457704223112097,2.47730352546789,1,166.17766339621,0
"52",0.0670463349796508,6.91389771189539,0,134.245302225128,0
"54",0,0,1,178.138824889905,0
"55",0.48081806954814,2.90217971038441,1,167.269624072871,0
"56",0.173213820284367,1.41856692984142,0,166.424875542397,0
"58",0.242428888887568,1.99605023939578,0,165.996592857505,0
"59",0.429990326425494,1.81976696352261,1,176.111355956938,0
"60",0.287514923509034,5.61404848963835,0.968875805949668,170.302940731089,0
"61",0.238974494003965,1.03905582886034,0,175.141135300878,0
"62",0.225801820365074,1.38006855591769,0,173.245836935856,0
"63",0,0,1,172.593647461426,0
"64",0.162931105204993,0.816082444821246,0,171.129609138979,0
"65",0.295067642449568,2.52510123506027,0.897666000039437,160.945345862571,0
"66",0.35707744749888,1.84103063331693,0.725096035593001,169.268428260106,0
"67",0,0,1,179.525119247025,0
"unknown",NA,NA,NA,NA,-1
"69",0.46982013338344,2.82682091324779,0.925639172274251,169.807122959271,0
"70",0.136547304006811,3.09654319823117,1,175.785549751649,0
"71",0.166940568836979,2.77862495871284,0,166.104179746482,0
"72",0,0,1,181.604560782705,0
"73",0.325224154965314,4.57215338313634,1,169.563915508922,0
"74",0.260289118662618,1.37519728377345,0,161.618680982587,0
"75",0.369687054163139,5.00527728165015,0.857034880804891,155.310070782729,0
"76",0.279532543836789,2.64458312655241,0.241912605244271,90.9284287925019,0
"77",0.463664179554794,2.56998829411984,0.864126434326113,160.552358302935,0
"78",0.458564346140618,2.28324488119392,0.539214838596058,171.054429367608,0
"79",0.321028955400615,4.25187457802625,0.74693870774716,169.841502797337,0
"80",0.198793986249516,1.78023418598108,0,170.941668559879,0
"81",0.305648138598069,0.746386077995239,0,157.228419459323,0
"82",0.641845929562629,1.02700218259218,1,168.313698989887,0
"84",0.292503179875309,3.84681464757409,0.918762381294151,171.986253126435,0
"85",0.328400247536416,4.50877385284575,1,146.064283495176,0
"86",0.340115950253661,3.02897716325803,0.797046477330112,171.119110484181,0
"87",0.242585148264046,1.71640731555786,0.395986682803645,170.862480474565,0
"88",0,0.925744095916612,0.1,4.15888307135967,0
