"SubNo","StimNoise","TrialValidity2","n_trials","accuracy","confidence","rt"
"19","low noise","Invalid",22,0.954545454545455,94.2649147727273,0.717014298816635
"19","low noise","non-predictive",24,1,99.5171440972222,0.66993767451883
"19","low noise","Valid",84,0.988095238095238,98.2700892857143,0.692750694518465
"19","high noise","Invalid",17,0.823529411764706,40.1348039215686,1.06019731837681
"19","high noise","non-predictive",24,0.791666666666667,39.8817274305556,1.02961035240151
"19","high noise","Valid",83,0.746987951807229,37.6694277108434,1.07424846287334
"20","low noise","Invalid",16,1,99.9918619791667,0.668395537446486
"20","low noise","non-predictive",24,1,100,0.567147223259477
"20","low noise","Valid",67,1,100,0.644453532032933
"20","high noise","Invalid",15,0.8,70.4079861111111,0.979315347868639
"20","high noise","non-predictive",21,0.714285714285714,57.1056547619048,1.07307735810034
"20","high noise","Valid",64,0.796875,61.2223307291667,0.918152755217306
"22","low noise","Invalid",17,1,70.4044117647059,0.699355006074149
"22","low noise","non-predictive",24,1,76.2586805555555,0.653398735293498
"22","low noise","Valid",87,1,72.6906728927203,0.63683406370237
"22","high noise","Invalid",24,0.666666666666667,31.8088107638889,1.10248916438528
"22","high noise","non-predictive",22,0.727272727272727,34.7774621212121,1.05328327513152
"22","high noise","Valid",79,0.708860759493671,34.8101265822785,0.957418078761489
"23","low noise","Invalid",18,1,94.7844328703704,0.455852960740837
"23","low noise","non-predictive",24,1,95.2094184027778,0.411748646118212
"23","low noise","Valid",90,1,98.0541087962963,0.416519464721851
"23","high noise","Invalid",24,0.583333333333333,57.2699652777778,0.600895672182863
"23","high noise","non-predictive",24,0.458333333333333,52.3817274305555,0.730803801333726
"23","high noise","Valid",83,0.626506024096386,55.5848393574297,0.649786087437477
"24","low noise","Invalid",17,1,95.2435661764706,0.758384037701248
"24","low noise","non-predictive",23,1,92.3007246376812,0.794436288299039
"24","low noise","Valid",81,1,95.1195987654321,0.716218306950328
"24","high noise","Invalid",21,0.666666666666667,55.1835317460318,0.853153695003129
"24","high noise","non-predictive",20,0.6,44.8177083333333,1.09840375158819
"24","high noise","Valid",67,0.776119402985075,57.2702891791045,1.06835209110008
"25","low noise","Invalid",19,1,70.5660635964912,0.716547928131676
"25","low noise","non-predictive",24,1,70.263671875,0.714543732950309
"25","low noise","Valid",88,0.988636363636364,72.4905303030303,0.656589576585578
"25","high noise","Invalid",23,0.739130434782609,62.6868206521739,0.907925285738083
"25","high noise","non-predictive",24,0.583333333333333,63.6284722222222,0.762343886861345
"25","high noise","Valid",85,0.564705882352941,64.6920955882353,0.712615571884603
"26","low noise","Invalid",19,0.947368421052632,80.2768640350877,0.687149346150507
"26","low noise","non-predictive",21,1,79.0612599206349,0.821567371914474
"26","low noise","Valid",77,0.922077922077922,76.0213744588745,0.767478896034337
"26","high noise","Invalid",16,0.5625,53.5400390625,0.756896468898049
"26","high noise","non-predictive",19,0.789473684210526,64.6107456140351,0.840926804114133
"26","high noise","Valid",73,0.794520547945205,58.5295376712329,0.856660647244409
"27","low noise","Invalid",19,1,91.5227521929825,0.819641381440881
"27","low noise","non-predictive",24,1,89.3446180555556,0.625112548174608
"27","low noise","Valid",84,1,90.0282118055556,0.700465147384897
"27","high noise","Invalid",21,0.571428571428571,45.8395337301587,0.765237547107972
"27","high noise","non-predictive",24,0.583333333333333,42.3828125,0.767143050165032
"27","high noise","Valid",86,0.581395348837209,41.6621245155039,0.803038210279124
"28","low noise","Invalid",23,0.956521739130435,95.6521739130435,0.46312566503437
"28","low noise","non-predictive",24,1,100,0.461028728168458
"28","low noise","Valid",84,1,100,0.481817701031798
"28","high noise","Invalid",18,0.555555555555556,99.2693865740741,0.530159503648368
"28","high noise","non-predictive",24,0.583333333333333,96.5386284722222,0.580333657456019
"28","high noise","Valid",86,0.569767441860465,94.7099079457364,0.567101156418916
"29","low noise","Invalid",19,0.947368421052632,95.984100877193,0.805939574756561
"29","low noise","non-predictive",23,0.956521739130435,91.1514945652174,0.751587748527527
"29","low noise","Valid",79,0.987341772151899,94.4834520042194,0.752856741012428
"29","high noise","Invalid",19,0.473684210526316,91.515899122807,0.985513983453673
"29","high noise","non-predictive",22,0.727272727272727,81.4808238636364,0.997019104410852
"29","high noise","Valid",71,0.71830985915493,80.4669160798122,0.998322547024811
"30","low noise","Invalid",19,1,97.9166666666667,0.634787713937265
"30","low noise","non-predictive",20,1,97.01171875,0.551000742980978
"30","low noise","Valid",79,0.987341772151899,97.3694620253165,0.566658987447065
"30","high noise","Invalid",18,0.777777777777778,60.7855902777778,0.951539772931332
"30","high noise","non-predictive",22,0.772727272727273,71.7625473484848,0.950344489257655
"30","high noise","Valid",75,0.786666666666667,70.5277777777778,0.902407899781441
"31","low noise","Invalid",27,1,92.1585648148148,0.56313453520286
"31","low noise","non-predictive",23,1,95.4370471014493,0.526702807785984
"31","low noise","Valid",80,1,93.8541666666667,0.50301954424649
"31","high noise","Invalid",15,0.666666666666667,50.625,0.987020550171534
"31","high noise","non-predictive",22,0.727272727272727,61.0617897727273,0.960940445561639
"31","high noise","Valid",90,0.933333333333333,61.9719328703704,0.800366167380061
"32","low noise","Invalid",19,1,99.7669956140351,0.835702284318884
"32","low noise","non-predictive",24,1,99.9240451388889,0.731738231794831
"32","low noise","Valid",87,1,99.9296575670498,0.797291139671954
"32","high noise","Invalid",20,0.65,37.0052083333333,1.15224098094041
"32","high noise","non-predictive",24,0.583333333333333,44.2979600694444,1.06372454272544
"32","high noise","Valid",80,0.6625,42.9134114583333,1.06826700397069
